State,x,y
Andhra Pradesh,-77,-156
Arunachal Pradesh,196,96
Assam,166,59
Bihar,37,49
Chattisgarh,-25,-35
Goa,-160,-143
Gujarat,-199,0
Haryana,-124,118
Himachal Pradesh,-103,168
Jharkhand,31,4
Karnataka,-127,-159
Kerela,-117,-229
Madhya Pradesh,-92,1
Maharastra,-138,-68
Manipur,185,25
Meghalaya,138,42
Mizoram,163,-1
Nagaland,195,56
Odisha,20,-51
Punjab,-146,142
Rajasthan,-174,64
Sikkim,90,84
Tamil Nadu,-86,-221
Telangana,-84,-100
Tripura,143,9
Uttar Pradesh,-51,73
Uttrakhand,-70,134
West Bengal,75,-3
Andaman and Nicobar Island,164,-191
Chandigarh,-122,148
Dadar ,-177,-59
Delhi,-107,105
Ladakh,-92,227
Lakshadweep,-180,-226
J&K,-150,208
Puducherry,-61,-205
